gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size
color emulation card,,480.0,20.0,1250.0,50.0,29.0,800.0,90.0
graphics solution,,480.0,20.0,1250.0,50.0,29.0,800.0,90.0
ega wonder 800,,480.0,32.0,1250.0,50.0,29.0,800.0,90.0
graphics solution plus,,480.0,20.0,1250.0,50.0,29.0,800.0,90.0
vga improved performance,,480.0,40.0,1250.0,50.0,29.0,800.0,90.0
ega wonder 480,,480.0,32.0,1250.0,50.0,29.0,800.0,90.0
ega wonder 800,,480.0,32.0,1250.0,50.0,29.0,800.0,90.0
vga wonder,,480.0,40.0,1250.0,50.0,29.0,800.0,90.0
vga wonder,,480.0,40.0,1250.0,50.0,29.0,800.0,90.0
8514 ultra,,480.0,40.0,1250.0,50.0,29.0,800.0,90.0
graphics ultra,,480.0,40.0,1250.0,50.0,29.0,800.0,90.0
graphics ultra pro isa,,480.0,80.0,1250.0,50.0,29.0,700.0,90.0
graphics ultra pro isa,,480.0,80.0,1250.0,50.0,29.0,700.0,90.0
graphics vantage,,480.0,40.0,1250.0,50.0,29.0,800.0,90.0
graphics wonder pci,,480.0,80.0,1250.0,50.0,29.0,700.0,90.0
graphics wonder vlb,,480.0,80.0,1250.0,50.0,29.0,700.0,90.0
vga wonder xl24,,480.0,40.0,1250.0,50.0,29.0,800.0,90.0
graphics ultra pro pci,,480.0,664.0,1250.0,50.0,29.0,700.0,90.0
graphics ultra pro vlb,,480.0,80.0,1250.0,50.0,29.0,700.0,90.0
graphics ultra xlr vlb,,480.0,80.0,1250.0,50.0,29.0,700.0,90.0
playstation gpu 600nm,,480.0,132.0,1250.0,11.0,1.0,600.0,128.0
graphics pro turbo,,480.0,320.0,1250.0,50.0,1.0,600.0,90.0
graphics xpression,,480.0,320.0,1250.0,50.0,1.0,600.0,90.0
graphics xpression isa,,480.0,320.0,1250.0,50.0,1.0,600.0,90.0
video xpression,,480.0,528.0,1250.0,50.0,1.0,600.0,90.0
winboost,,480.0,320.0,1250.0,50.0,1.0,600.0,90.0
wincharger,,480.0,320.0,1250.0,50.0,1.0,600.0,90.0
winturbo,,480.0,320.0,1250.0,50.0,1.0,600.0,90.0
nv1,,480.0,480.0,1250.0,2.0,1.0,500.0,135.0
stg 2000,,480.0,400.0,1250.0,2.0,1.0,500.0,135.0
voodoo graphics 4 mb,,480.0,800.0,1250.0,15.0,1.0,500.0,135.0
3d rage,,480.0,528.0,1250.0,50.0,5.0,500.0,90.0
3d rage ii,,480.0,664.0,1250.0,50.0,5.0,500.0,86.0
3d rage ii dvd,,480.0,664.0,1250.0,50.0,5.0,500.0,86.0
all in wonder 3d rage ii dvd,,480.0,664.0,1250.0,50.0,5.0,500.0,86.0
video xpression,,480.0,496.0,1250.0,50.0,1.0,600.0,90.0
video xpression,,480.0,496.0,1250.0,50.0,1.0,600.0,90.0
3d rage iic agp,,480.0,664.0,1250.0,50.0,5.0,500.0,39.0
3d rage iic pci,,480.0,664.0,1250.0,50.0,5.0,500.0,39.0
3d rage pro agp,,480.0,600.0,1250.0,50.0,8.0,350.0,47.0
3d rage pro agp 2x,,480.0,600.0,1250.0,50.0,8.0,350.0,47.0
3d rage pro pci,,480.0,600.0,1250.0,50.0,8.0,350.0,47.0
rage lt pro agp,,480.0,800.0,1250.0,50.0,1.0,500.0,90.0
rage lt pro agp,,480.0,800.0,1250.0,50.0,1.0,500.0,90.0
rage pro turbo agp,,480.0,600.0,1250.0,50.0,8.0,350.0,67.0
rage pro turbo pci,,480.0,600.0,1250.0,50.0,8.0,350.0,67.0
xpert xl agp 2x,,480.0,800.0,1250.0,50.0,8.0,350.0,47.0
riva 128,,480.0,1.6,1250.0,4.0,4.0,350.0,71.0
riva 128 pci,,480.0,1.6,1250.0,4.0,4.0,350.0,71.0
6326,,480.0,400.0,1250.0,50.0,29.0,350.0,154.0
6326 agp,,480.0,720.0,1250.0,50.0,29.0,350.0,154.0
playstation gpu 350nm,,480.0,132.0,1250.0,10.0,1.0,350.0,128.0
voodoo banshee agp 16 mb,,480.0,1.6,1250.0,15.0,4.0,350.0,137.0
voodoo banshee pci 16 mb,,480.0,1.6,1250.0,15.0,4.0,350.0,137.0
voodoo2 12 mb,,480.0,2.16,1250.0,15.0,4.0,350.0,119.0
voodoo2 8 mb,,480.0,2.16,1250.0,15.0,4.0,350.0,119.0
rage 128 gl,,480.0,960.0,1250.0,50.0,8.0,250.0,89.0
rage 128 gl pci,,480.0,1.648,1250.0,50.0,8.0,250.0,89.0
rage 128 pro ultra gl,,480.0,2.08,1250.0,50.0,8.0,250.0,89.0
rage 128 vr agp,,480.0,2.0,1250.0,50.0,8.0,250.0,89.0
rage 128 vr pci,,480.0,2.0,1250.0,50.0,8.0,250.0,89.0
rage xl pci,,480.0,664.0,1250.0,50.0,8.0,350.0,47.0
i740,,480.0,800.0,1250.0,50.0,29.0,150.0,154.0
i740 8 mb,,480.0,800.0,1250.0,50.0,29.0,150.0,154.0
i740 graphics,,480.0,40.0,1250.0,50.0,29.0,150.0,154.0
i752 graphics,,480.0,40.0,1250.0,50.0,29.0,150.0,154.0
marvel g200,,480.0,896.0,1250.0,50.0,10.0,350.0,154.0
millennium g200,,480.0,1.144,1250.0,50.0,10.0,350.0,154.0
millennium g200 sd,,480.0,896.0,1250.0,50.0,10.0,350.0,154.0
mystique g200,,480.0,896.0,1250.0,50.0,10.0,350.0,154.0
productiva g100,,480.0,496.0,1250.0,50.0,29.0,350.0,154.0
riva 128zx,,480.0,1.6,1250.0,50.0,4.0,350.0,71.0
riva tnt,,480.0,1.76,1250.0,50.0,7.0,350.0,128.0
velocity 100,,480.0,2.288,1250.0,15.0,8.2,250.0,74.0
voodoo3 1000 agp,,480.0,2.288,1250.0,15.0,8.2,250.0,74.0
voodoo3 2000 agp,,480.0,2.288,1250.0,15.0,8.2,250.0,74.0
voodoo3 2000 pci,,480.0,2.288,1250.0,15.0,8.2,250.0,74.0
voodoo3 3000 agp,,480.0,2.656,1250.0,15.0,8.2,250.0,74.0
voodoo3 3000 pci,,480.0,2.656,1250.0,15.0,8.2,250.0,74.0
voodoo3 3500 tv agp,,480.0,2.928,1250.0,15.0,8.2,250.0,74.0
all in wonder 128,,480.0,1.44,1250.0,50.0,8.0,250.0,89.0
all in wonder 128 pci,,480.0,1.44,1250.0,50.0,8.0,250.0,89.0
all in wonder 128 pro,,480.0,1.92,1250.0,50.0,8.0,250.0,98.0
all in wonder 128 pro ultra,,480.0,2.144,1250.0,50.0,8.0,250.0,89.0
fire gl1,,480.0,3.2,1250.0,50.0,29.0,250.0,154.0
rage 128 pro,,480.0,2.288,1250.0,50.0,8.0,250.0,98.0
rage 128 pro ultra,,480.0,1.04,1250.0,50.0,8.0,250.0,98.0
rage 128 ultra,,480.0,2.08,1250.0,50.0,8.0,250.0,98.0
rage fury,,480.0,1.92,1250.0,50.0,8.0,250.0,98.0
rage fury maxx,,480.0,2.288,1250.0,50.0,8.0,250.0,98.0
rage mobility 128 agp 2x,,480.0,840.0,1250.0,50.0,8.0,250.0,70.0
rage mobility 128 agp 4x,,480.0,1.68,1250.0,50.0,8.0,250.0,70.0
rage mobility cl,,480.0,560.0,1250.0,50.0,4.0,350.0,70.0
rage mobility m,,480.0,560.0,1250.0,50.0,4.0,350.0,70.0
rage mobility m1,,480.0,1.0,1250.0,50.0,8.0,250.0,70.0
rage mobility m3,,480.0,840.0,1250.0,50.0,8.0,250.0,70.0
rage mobility m4,,480.0,840.0,1250.0,50.0,8.0,250.0,70.0
rage mobility p,,480.0,560.0,1250.0,50.0,4.0,350.0,70.0
rage xl pci,,480.0,332.0,1250.0,50.0,8.0,350.0,47.0
i752,,480.0,1.064,1250.0,50.0,29.0,150.0,154.0
i810 graphics,,480.0,40.0,1250.0,50.0,29.0,150.0,154.0
marvel g400 tv,,480.0,2.656,1250.0,50.0,10.0,250.0,154.0
millennium g200a,,480.0,896.0,1250.0,50.0,10.0,250.0,154.0
millennium g250,,480.0,1.024,1250.0,50.0,10.0,250.0,154.0
millennium g400,,480.0,2.656,1250.0,50.0,10.0,250.0,154.0
millennium g400 max,,480.0,3.2,1250.0,50.0,10.0,250.0,154.0
256 ddr,,480.0,4.8,1250.0,50.0,17.0,220.0,139.0
256 sdr,,480.0,1.144,1250.0,50.0,17.0,220.0,139.0
quadro,,480.0,2.656,1250.0,50.0,17.0,220.0,139.0
riva tnt2,,480.0,2.4,1250.0,50.0,15.0,250.0,63.0
riva tnt2 m64,,480.0,1.144,1250.0,50.0,15.0,250.0,63.0
riva tnt2 m64 vanta,,480.0,1.064,1250.0,50.0,15.0,250.0,63.0
riva tnt2 m64 vanta 16,,480.0,1.064,1250.0,50.0,15.0,250.0,63.0
riva tnt2 pro,,480.0,2.672,1250.0,50.0,15.0,250.0,63.0
riva tnt2 ultra,,480.0,2.928,1250.0,50.0,15.0,250.0,63.0
300,,480.0,2.656,1250.0,50.0,29.0,250.0,154.0
voodoo4 4500 agp,,480.0,2.656,1250.0,15.0,14.0,250.0,112.0
voodoo4 4500 pci,,480.0,2.656,1250.0,15.0,14.0,250.0,112.0
voodoo5 5500 agp,,480.0,2.656,1250.0,30.0,14.0,250.0,112.0
voodoo5 5500 pci,,480.0,2.656,1250.0,30.0,14.0,250.0,112.0
all in wonder 7200,,480.0,5.312,1250.0,50.0,30.0,180.0,111.0
fire gl2,,480.0,7.68,1250.0,50.0,29.0,180.0,156.0
fire gl3,,480.0,8.0,1250.0,50.0,29.0,180.0,156.0
gamecube gpu,,480.0,1.296,1250.0,45.0,51.0,180.0,120.0
7200,,480.0,5.312,1250.0,23.0,30.0,180.0,111.0
7200,,480.0,2.288,1250.0,23.0,30.0,180.0,111.0
7200 64 mb,,480.0,5.312,1250.0,23.0,30.0,180.0,111.0
ddr,,480.0,5.312,1250.0,23.0,30.0,180.0,115.0
ddr maxx,,480.0,4.736,1250.0,50.0,30.0,180.0,115.0
sdr,,480.0,2.656,1250.0,23.0,30.0,180.0,115.0
sdr pci,,480.0,2.656,1250.0,23.0,30.0,180.0,115.0
i815 graphics,,480.0,40.0,1250.0,50.0,29.0,150.0,154.0
millennium g450,,480.0,2.656,1250.0,50.0,10.0,180.0,154.0
millennium g450 lp,,480.0,2.656,1250.0,50.0,10.0,180.0,154.0
2 go,,480.0,2.656,1250.0,2.0,20.0,180.0,64.0
2 go,,480.0,5.312,1250.0,2.0,20.0,180.0,64.0
2 gts,,480.0,5.312,1250.0,50.0,25.0,180.0,88.0
2 gts pro,,480.0,6.4,1250.0,50.0,25.0,180.0,88.0
2 mx,,480.0,2.656,1250.0,50.0,20.0,180.0,64.0
2 mx dh pro tv,,480.0,2.656,1250.0,50.0,20.0,180.0,64.0
2 mx dh pro tv pci,,480.0,2.656,1250.0,50.0,20.0,180.0,64.0
2 mx pci,,480.0,1.328,1250.0,50.0,20.0,180.0,64.0
2 pro,,480.0,6.4,1250.0,50.0,25.0,180.0,88.0
2 ultra,,480.0,7.36,1250.0,50.0,25.0,180.0,88.0
quadro2 mxr,,480.0,2.928,1250.0,50.0,20.0,180.0,64.0
quadro2 mxr low profile,,480.0,2.928,1250.0,50.0,20.0,180.0,64.0
vanta lt,,480.0,800.0,1250.0,50.0,15.0,250.0,63.0
305,,480.0,1.0,1250.0,50.0,29.0,150.0,154.0
315,,480.0,2.656,1250.0,50.0,29.0,150.0,154.0
315 pro,,480.0,1.144,1250.0,50.0,29.0,150.0,154.0
315e,,480.0,1.144,1250.0,50.0,29.0,150.0,154.0
playstation 2 gpu 250nm,,480.0,48.0,1250.0,79.0,54.0,250.0,279.0
all in wonder 8500,,480.0,8.8,1250.0,50.0,60.0,150.0,120.0
all in wonder 8500dv,,480.0,6.08,1250.0,50.0,60.0,150.0,120.0
fire gl4,,480.0,9.6,1250.0,50.0,29.0,180.0,156.0
firegl 8700,,480.0,8.64,1250.0,50.0,60.0,150.0,120.0
firegl 8800,,480.0,9.28,1250.0,50.0,60.0,150.0,120.0
mobility firegl 7800,,480.0,6.4,1250.0,27.0,60.0,150.0,68.0
mobility 7500,,480.0,2.928,1250.0,27.0,60.0,150.0,68.0
mobility 7500,,480.0,3.2,1250.0,27.0,60.0,150.0,68.0
mobility 7500c,,480.0,2.928,1250.0,27.0,60.0,150.0,68.0
7000,,480.0,2.928,1250.0,23.0,30.0,180.0,80.0
7000 pci,,480.0,2.128,1250.0,23.0,30.0,180.0,80.0
7500,,480.0,7.36,1250.0,23.0,60.0,150.0,83.0
7500 le,,480.0,5.6,1250.0,23.0,60.0,150.0,83.0
