gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size,compute_index,memory_pressure_ratio,perf_per_watt,transistor_density,log_transistors,expected_log_transistors,moore_deviation
color emulation card,2024.0,480.0,20.0,1250.0,50.0,29.0,800.0,90.0,600000.0,28571.428571428572,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
graphics solution,2024.0,480.0,20.0,1250.0,50.0,29.0,800.0,90.0,600000.0,28571.428571428572,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
ega wonder 800,2024.0,480.0,32.0,1250.0,50.0,29.0,800.0,90.0,600000.0,18181.81818181818,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
graphics solution plus,2024.0,480.0,20.0,1250.0,50.0,29.0,800.0,90.0,600000.0,28571.428571428572,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
vga improved performance,2024.0,480.0,40.0,1250.0,50.0,29.0,800.0,90.0,600000.0,14634.146341463415,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
ega wonder 480,2024.0,480.0,32.0,1250.0,50.0,29.0,800.0,90.0,600000.0,18181.81818181818,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
ega wonder 800,2024.0,480.0,32.0,1250.0,50.0,29.0,800.0,90.0,600000.0,18181.81818181818,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
vga wonder,2024.0,480.0,40.0,1250.0,50.0,29.0,800.0,90.0,600000.0,14634.146341463415,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
vga wonder,2024.0,480.0,40.0,1250.0,50.0,29.0,800.0,90.0,600000.0,14634.146341463415,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
8514 ultra,2024.0,480.0,40.0,1250.0,50.0,29.0,800.0,90.0,600000.0,14634.146341463415,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
graphics ultra,2024.0,480.0,40.0,1250.0,50.0,29.0,800.0,90.0,600000.0,14634.146341463415,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
graphics ultra pro isa,2024.0,480.0,80.0,1250.0,50.0,29.0,700.0,90.0,600000.0,7407.407407407408,11764.70588235294,0.31868131868131866,3.4011973816621555,3.3314383390085567,-0.07630918228861328
